gender,age_group,transformation,image_id_01,distortion_level_11,distortion_level_12,distortion_level_21,distortion_level_22,reaction_time_ms,answer
man,41-50,gaussian_noise,11,8,5,1,4,10223,1
man,41-50,gaussian_noise,12,2,4,8,10,6816,2
man,41-50,gaussian_noise,12,10,5,3,2,6603,1
man,41-50,gaussian_noise,13,5,3,7,9,10599,2
man,41-50,gaussian_noise,13,10,9,2,8,6558,1
man,41-50,gaussian_noise,14,4,5,2,1,14142,2
man,41-50,gaussian_noise,14,5,6,7,9,13641,1
man,41-50,gaussian_noise,14,8,10,3,6,13367,2
man,41-50,gaussian_noise,16,4,8,9,10,5041,1
man,41-50,gaussian_noise,16,5,1,10,7,5257,1
man,41-50,gaussian_noise,17,10,9,5,3,8386,2
man,41-50,gaussian_noise,18,5,4,6,10,9547,2
man,41-50,gaussian_noise,18,7,6,5,1,5629,2
man,41-50,gaussian_noise,19,5,6,1,2,7655,2
man,41-50,gaussian_noise,19,6,8,3,1,5230,2
man,41-50,gaussian_noise,21,5,6,1,2,3402,2
man,41-50,gaussian_noise,21,6,4,10,8,5557,1
man,41-50,gaussian_noise,21,7,9,4,2,8001,2
man,41-50,gaussian_noise,21,8,9,2,5,5559,2
man,41-50,gaussian_noise,22,3,5,9,8,7686,1
man,41-50,gaussian_noise,22,9,6,1,3,16523,1
man,41-50,gaussian_noise,24,5,9,3,1,5514,2
man,41-50,gaussian_noise,24,7,8,5,3,6812,1
man,41-50,gaussian_noise,24,8,9,1,3,6366,2
woman,18-30,rotation,1,2,6,10,8,5416,1
woman,18-30,rotation,1,9,6,4,1,4933,2
woman,18-30,rotation,1,10,8,1,3,6834,2
woman,18-30,rotation,2,1,2,7,5,3840,2
woman,18-30,rotation,2,8,10,7,2,4295,2
woman,18-30,rotation,2,10,8,7,6,3935,1
woman,18-30,rotation,3,7,9,2,6,4144,2
woman,18-30,rotation,4,2,6,9,10,4380,1
woman,18-30,rotation,4,3,1,8,4,5560,1
woman,18-30,rotation,5,2,3,7,10,7832,2
woman,18-30,rotation,5,3,1,5,4,5975,1
woman,18-30,rotation,5,10,7,4,2,5489,1
woman,18-30,rotation,8,5,4,6,10,5161,2
woman,18-30,rotation,8,5,6,3,4,3597,1
woman,18-30,rotation,9,2,4,7,10,5541,1
woman,18-30,rotation,9,5,4,6,7,8247,1
